student_id,lesson_id,grade,topic,unit,total_listen_time_sec,pause_count,replay_count,seek_back_seconds,completion_rate
VS0001,L_G11_06_PROGRAMMING_INTRO,10,Introduction to Programming and Algorithms,Programming,234,4,1,28,0.42
VS0001,L_G10_06_OPERATING_SYSTEMS,10,Functions of an Operating System,Operating Systems,262,8,0,75,0.84
VS0001,L_G11_02_NETWORK_TYPES,10,"Types of Networks: LAN, MAN, WAN",Networking,552,1,1,29,0.42
VS0001,L_G11_04_INTERNET_WEB,10,"Internet, Web, and Common Services",Internet & Web,637,8,1,83,0.76
VS0002,L_G11_09_SECURITY_ETHICS,10,"Computer Security, Ethics, and Legal Issues",ICT & Society,678,7,4,35,0.65
VS0002,L_G11_03_NETWORK_DEVICES,10,Networking Devices and Client Server Model,Networking,126,2,5,54,0.86
VS0002,L_G11_04_INTERNET_WEB,10,"Internet, Web, and Common Services",Internet & Web,468,3,6,43,0.57
VS0002,L_G11_06_PROGRAMMING_INTRO,10,Introduction to Programming and Algorithms,Programming,224,1,2,44,0.46
VS0003,L_G10_03_INPUT_OUTPUT,10,Input and Output Devices,Computer Hardware,390,7,4,15,0.88
VS0003,L_G11_06_PROGRAMMING_INTRO,10,Introduction to Programming and Algorithms,Programming,507,4,6,80,0.45
VS0003,L_G11_10_HEALTH_SAFETY,10,"Health, Safety, and Environmental Issues in ICT",Health & Safety,753,5,4,24,0.93
VS0003,L_G10_02_COMPUTER_SYSTEMS,10,Types of Computer Systems,Computer Hardware,841,3,6,37,0.44
VS0004,L_G11_06_PROGRAMMING_INTRO,10,Introduction to Programming and Algorithms,Programming,358,6,2,58,0.92
VS0004,L_G11_07_PROGRAMMING_PASCAL,10,Structured Programming in Pascal-Style Syntax,Programming,770,2,2,45,0.9
VS0005,L_G11_06_PROGRAMMING_INTRO,10,Introduction to Programming and Algorithms,Programming,806,1,4,81,0.56
VS0005,L_G11_03_NETWORK_DEVICES,10,Networking Devices and Client Server Model,Networking,295,3,1,59,0.72
VS0006,L_G11_08_SDLC,11,Systems Development Life Cycle,Systems Development,396,8,1,87,0.99
VS0006,L_G10_02_COMPUTER_SYSTEMS,11,Types of Computer Systems,Computer Hardware,452,0,1,4,0.91
VS0006,L_G10_01_ICT_ROLE,11,Role of ICT in Society,ICT & Society,443,1,1,72,0.64
VS0007,L_G11_02_NETWORK_TYPES,11,"Types of Networks: LAN, MAN, WAN",Networking,442,7,3,82,0.53
VS0007,L_G10_08_ICT_APPS,11,Applications of ICT in Different Sectors,ICT Applications,589,2,1,71,0.49
VS0007,L_G11_07_PROGRAMMING_PASCAL,11,Structured Programming in Pascal-Style Syntax,Programming,671,6,4,51,0.56
VS0007,L_G11_04_INTERNET_WEB,11,"Internet, Web, and Common Services",Internet & Web,490,2,4,63,0.53
VS0008,L_G11_01_NETWORK_INTRO,11,Introduction to Computer Networks,Networking,893,1,1,80,0.43
VS0008,L_G11_08_SDLC,11,Systems Development Life Cycle,Systems Development,283,6,4,8,0.88
VS0009,L_G10_01_ICT_ROLE,11,Role of ICT in Society,ICT & Society,510,7,4,32,0.76
VS0009,L_G11_10_HEALTH_SAFETY,11,"Health, Safety, and Environmental Issues in ICT",Health & Safety,686,0,5,14,0.92
VS0009,L_G11_03_NETWORK_DEVICES,11,Networking Devices and Client Server Model,Networking,818,4,6,82,0.93
VS0010,L_G11_05_WEB_DEV_BASICS,10,Basics of Web Page Development,Web Development,234,2,3,0,0.58
VS0010,L_G10_04_DATA_REPRESENTATION,10,Number Systems and Data Units,Data Representation,859,4,4,22,0.93
VS0010,L_G11_04_INTERNET_WEB,10,"Internet, Web, and Common Services",Internet & Web,639,4,6,81,0.95
VS0011,L_G10_03_INPUT_OUTPUT,10,Input and Output Devices,Computer Hardware,743,5,6,20,0.52
VS0011,L_G11_09_SECURITY_ETHICS,10,"Computer Security, Ethics, and Legal Issues",ICT & Society,672,8,0,76,0.97
VS0011,L_G11_04_INTERNET_WEB,10,"Internet, Web, and Common Services",Internet & Web,451,1,2,39,0.69
