student_id,category,attempts,correct_ratio,avg_time_sec,hint_rate,repeat_rate,weak_label
S000,ICT & Society,3,0.857008908,21.39113651,0.165394603,0.084637975,0
S000,Networking,19,0.369650242,31.51973835,0.293585424,0.356451,0
S000,Security,7,0.488752915,30.8427927,0.339765543,0.298253865,0
S000,Hardware,24,0.205119752,39.80283908,0.4753369,0.372475837,1
S000,Software,10,0.520796133,28.67194412,0.300583619,0.264559925,0
S000,Data Representation,20,0.698850092,20.62980482,0.242280429,0.194014643,0
S000,Internet,8,0.799153097,23.75205451,0.212699396,0.188606373,0
S000,Databases,17,0.483623792,23.01104691,0.233437757,0.276743185,0
S000,Algorithms,15,0.415098663,28.42435695,0.355018287,0.304188015,0
S000,Ethics,22,0.448194964,33.14902297,0.356277934,0.288408523,1
S001,ICT & Society,13,0.133585788,40.31196194,0.45650038,0.463229315,1
S001,Networking,28,0,38.77969017,0.540314026,0.42712363,1
S001,Security,23,0.065689103,32.86348419,0.534693392,0.474051487,1
S001,Hardware,13,0.029212259,33.3675613,0.503458038,0.380895764,1
S001,Software,18,0.220090197,49.28039644,0.56548823,0.416649226,1
S001,Data Representation,16,0.050231924,41.85609694,0.549227314,0.465758637,1
S001,Internet,13,0.300100622,36.5820242,0.386318918,0.29188215,1
S001,Databases,13,0.430943814,32.67251042,0.346752517,0.269379416,0
S001,Algorithms,15,0.256228207,39.85048955,0.44795261,0.375929985,1
S001,Ethics,12,0.085562847,44.03535339,0.558302302,0.408630254,1
S002,ICT & Society,16,0.522489882,29.97361757,0.261331452,0.243336106,0
S002,Networking,8,0.764599933,20.48935544,0.06651191,0.017876422,0
S002,Security,4,0.916726891,24.29068899,0.139278368,0.162054288,0
S002,Hardware,17,0.827376084,21.4313289,0.140427944,0.250806846,0
S002,Software,12,1,17.97551291,0.08304742,0,0
S002,Data Representation,12,0.781492583,14.99156551,0.249248489,0.017748884,0
S002,Internet,20,1,17.27440564,0.115829178,0.149863754,0
S002,Databases,5,0.875062363,22.44443724,0.104574309,0.138195895,0
S002,Algorithms,20,0.909323978,21.42401815,0.270919212,0.211064125,0
S002,Ethics,13,0.901759651,15.3111612,0.212883938,0.154753974,0
S003,ICT & Society,18,0.335866972,37.92310533,0.24692893,0.334814835,1
S003,Networking,23,0.399396768,27.04289063,0.481288087,0.355250674,1
S003,Security,24,0.620900264,30.30420113,0.418332432,0.296063553,0
S003,Hardware,26,0.340685939,33.2327952,0.341145782,0.375351958,1
S003,Software,15,0.127716467,41.04654821,0.513292891,0.374464958,1
S003,Data Representation,25,0.295089595,36.74742798,0.320332182,0.41899796,1
S003,Internet,12,0.412019693,34.25092939,0.330779727,0.315957157,0
S003,Databases,18,0.391158564,27.77553849,0.371871268,0.32150591,1
S003,Algorithms,20,0.046109314,37.09368598,0.557774642,0.4462415,1
S003,Ethics,18,0.311563075,23.94613239,0.495260801,0.319815797,1
S004,ICT & Society,22,0.928052649,22.86815246,0.059310441,0,0
S004,Networking,12,0.963132438,22.28580479,0.166027865,0.064286861,0
S004,Security,3,0.860691752,25.45453033,0.033827732,0.046221982,0
S004,Hardware,19,0.969860439,24.30229345,0.178296754,0.070065893,0
S004,Software,12,0.68460761,28.50964701,0.335628863,0.112871539,0
S004,Data Representation,3,1,18.0191216,0.078944097,0.021249502,0
S004,Internet,23,0.713958473,18.86558038,0.283358636,0.164042792,0
S004,Databases,19,0.921621621,24.78381104,0.222268598,0.242444557,0
S004,Algorithms,19,0.609420388,19.65487854,0.175589858,0.151599755,0
S004,Ethics,13,0.473908091,29.79787344,0.363564538,0.260930192,1
S005,ICT & Society,23,0.632387512,27.31283787,0.278274811,0.200048571,0
S005,Networking,16,0.4285143,31.63914381,0.327061654,0.354843771,0
